suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_relu_ms,decompose_k_unfused_ms,decompose_k_fused_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_fused_speedup_vs_eager,decompose_k_fused_speedup_vs_compiled,decompose_k_fused_vs_unfused_speedup,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
epilogue-bf16,16,16,8192,bfloat16,0.015104000456631184,0.011648000217974186,0.008927999995648861,0.011935999616980553,0.009503999724984169,1.6917563243718918,1.304659523258394,1.5892256832589862,1.2255892839889142,1.255892251932955,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_13,32,16,16,128
epilogue-bf16,16,16,12288,bfloat16,0.01583999954164028,0.012160000391304493,0.009056000038981438,0.01235199999064207,0.009903999976813793,1.749116549630875,1.3427562211751243,1.5993537539098575,1.2277867952112491,1.2471728614256137,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_31,48,16,16,128
epilogue-bf16,16,16,16384,bfloat16,0.014399999752640724,0.013504000380635262,0.009216000325977802,0.012959999963641167,0.010304000228643417,1.5624999178928423,1.4652777672512192,1.397515472933619,1.3105590140707075,1.2577639437171702,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_47,32,16,16,128
epilogue-bf16,16,16,20480,bfloat16,0.016224000602960587,0.012799999676644802,0.009631999768316746,0.013088000006973743,0.010623999871313572,1.6843854851748854,1.3289036528788958,1.5271085089870788,1.2048192612658781,1.2319277264218864,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_66,40,16,16,128
epilogue-bf16,16,16,24576,bfloat16,0.0163199994713068,0.01414399966597557,0.009727999567985535,0.014655999839305878,0.010975999757647514,1.6776315991023765,1.453947398653565,1.4868804511348372,1.2886297356303016,1.3352769827727382,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_86,48,16,16,128
epilogue-bf16,16,16,28672,bfloat16,0.016607999801635742,0.01414399966597557,0.010048000141978264,0.013952000066637993,0.011359999887645245,1.6528661989415474,1.407643258969031,1.461971827983735,1.245070405445876,1.2281690320975902,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_105,56,16,16,128
epilogue-bf16,16,16,32768,bfloat16,0.015359999611973763,0.014240000396966934,0.010015999898314476,0.013952000066637993,0.011455999687314034,1.533546302706991,1.4217252936836877,1.3407821256300207,1.2430168283555214,1.217877134030297,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_122,32,16,16,128
epilogue-bf16,32,32,8192,bfloat16,0.014336000196635723,0.013439999893307686,0.00940799992531538,0.012240000069141388,0.009983999654650688,1.5238095568070642,1.4285714285714286,1.4358975052606109,1.3461538820313503,1.225961587793107,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_136,32,16,16,128
epilogue-bf16,32,32,12288,bfloat16,0.01484800036996603,0.013887999579310417,0.010304000228643417,0.013024000450968742,0.01071999967098236,1.4409937927496395,1.3478260162207756,1.3850747038880633,1.2955223885783709,1.214925452490732,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_154,24,16,16,128
epilogue-bf16,32,32,16384,bfloat16,0.01711999997496605,0.014208000153303146,0.01033599954098463,0.014368000440299511,0.011008000001311302,1.656346820361329,1.3746130789736528,1.5552325556801117,1.2906976881913745,1.3052325979821908,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_172,32,16,16,128
epilogue-bf16,32,32,20480,bfloat16,0.015647999942302704,0.01500799972563982,0.010784000158309937,0.015072000212967396,0.011744000017642975,1.4510385490160314,1.391691348787208,1.3324250612052762,1.2779291300317905,1.2833787628001343,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_190,40,16,16,128
epilogue-bf16,32,32,24576,bfloat16,0.015904000028967857,0.013632000423967838,0.010879999957978725,0.014592000283300877,0.012128000147640705,1.4617647141905399,1.252941220277392,1.3113456328627855,1.1240105753642913,1.2031662356253765,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_210,48,16,16,128
epilogue-bf16,32,32,28672,bfloat16,0.015968000516295433,0.015776000916957855,0.011168000288307667,0.014688000082969666,0.012543999589979649,1.4297994362529811,1.4126074954953693,1.272959266440899,1.257653175432179,1.170918412234538,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_229,56,16,16,128
epilogue-bf16,32,32,32768,bfloat16,0.017472000792622566,0.015231999568641186,0.01158399973064661,0.01600000075995922,0.012480000033974648,1.5082873963125767,1.3149171204090615,1.400000059700165,1.2205127826261775,1.2820513394552868,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_245,32,16,16,128
epilogue-bf16,48,48,8192,bfloat16,0.016287999227643013,0.014560000039637089,0.010432000271975994,0.013088000006973743,0.010623999871313572,1.5613495785078038,1.3957054888840779,1.5331324759917504,1.370481948042123,1.2319277264218864,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_260,16,16,16,128
epilogue-bf16,48,48,12288,bfloat16,0.01532800029963255,0.013472000136971474,0.010816000401973724,0.013775999657809734,0.011327999643981457,1.4171597383479633,1.245562096550318,1.3531074136090995,1.1892655861910377,1.2161017029276564,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_279,24,16,16,128
epilogue-bf16,48,48,16384,bfloat16,0.015519999898970127,0.013824000023305416,0.011296000331640244,0.015519999898970127,0.012128000147640705,1.3739376277724078,1.223796000127958,1.2796833534001297,1.139841676700065,1.2796833534001297,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_294,16,16,16,128
epilogue-bf16,48,48,20480,bfloat16,0.017920000478625298,0.01539199985563755,0.011327999643981457,0.014879999682307243,0.01244799979031086,1.5819209959232439,1.3587570921063092,1.439588751646162,1.2365038652730544,1.1953727452573848,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_314,20,16,16,128
epilogue-bf16,48,48,24576,bfloat16,0.016224000602960587,0.014560000039637089,0.011615999974310398,0.01651199907064438,0.01283199992030859,1.3966942698726847,1.2534435323551614,1.264339206960533,1.1346633517814846,1.2867829779605617,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_333,24,16,16,128
epilogue-bf16,48,48,28672,bfloat16,0.016704000532627106,0.0161920003592968,0.012095999903976917,0.01692800037562847,0.013151999562978745,1.3809524359482817,1.338624378954666,1.2700730754011584,1.231143620539289,1.2871046942001658,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_352,28,16,16,128
epilogue-bf16,48,48,32768,bfloat16,0.018688000738620758,0.01539199985563755,0.012415999546647072,0.01651199907064438,0.01408000010997057,1.5051547536233145,1.2396907552879337,1.3272727693650437,1.0931817993906054,1.1727271975624218,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_369,32,16,16,128
epilogue-bf16,64,64,8192,bfloat16,0.015168000012636185,0.013088000006973743,0.010304000228643417,0.013439999893307686,0.010784000158309937,1.4720496580028843,1.270186307895381,1.4065281704347923,1.213649834462251,1.2462907729977255,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_383,16,16,16,128
epilogue-bf16,64,64,12288,bfloat16,0.015135999768972397,0.013856000266969204,0.01119999960064888,0.015568000264465809,0.011872000060975552,1.351428598988118,1.2371429250913943,1.274932588547227,1.167115919457856,1.3113207702583642,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_402,16,16,16,128
epilogue-bf16,64,64,16384,bfloat16,0.015807999297976494,0.016095999628305435,0.01158399973064661,0.014911999925971031,0.012640000320971012,1.3646408551059335,1.3895027626530312,1.2506328240949058,1.2734176597765252,1.1797467996286792,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_418,16,16,32,128
epilogue-bf16,64,64,20480,bfloat16,0.017535999417304993,0.01484800036996603,0.012160000391304493,0.01539199985563755,0.013151999562978745,1.442105168832464,1.2210526227107446,1.3333333333333333,1.1289538369330028,1.1703163296145576,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_438,16,16,32,256
epilogue-bf16,64,64,24576,bfloat16,0.017503999173641205,0.016672000288963318,0.012415999546647072,0.017791999503970146,0.01414399966597557,1.4097937993536849,1.3427835774579724,1.2375565318873953,1.1787330799412445,1.257918546673195,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_456,24,16,32,128
epilogue-bf16,64,64,28672,bfloat16,0.016736000776290894,0.017184000462293625,0.012799999676644802,0.016704000532627106,0.014271999709308147,1.3075000936779566,1.3425000700310938,1.1726458181873234,1.204035931354895,1.170403648602432,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_475,16,16,32,256
epilogue-bf16,64,64,32768,bfloat16,0.019007999449968338,0.017152000218629837,0.013376000337302685,0.018144000321626663,0.014479999896138906,1.4210525546234671,1.2822966347269542,1.3127071537505206,1.1845304103353909,1.2530387052326404,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_492,16,32,16,256
